,popularity,id,vote_count,vote_average,title,release_date,original_language,genre_ids,Unnamed: 0,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
812,9.41,185567,332,6.8,Zulu,2013-12-04,en,"['Crime', 'Drama', 'Thriller']",930,Zulu,1964,Not Rated,58777,138,"Drama, History, War",77.0,7.7,35457,--
813,11.083,13321,251,7.4,Lifeboat,1944-01-28,en,"['Drama', 'Thriller', 'War']",982,Lifeboat,1944,Not Rated,37017,97,"Drama, War",78.0,7.6,26156,--
814,9.204,7863,408,7.4,Shine,1996-08-15,en,['Drama'],361,Shine,1996,PG-13,117631,105,"Biography, Drama, Music",87.0,7.7,50864,35.81
815,19.479,4133,3019,7.4,Blow,2001-04-04,en,"['Crime', 'Drama']",288,Blow,2001,R,221027,124,"Biography, Crime, Drama",52.0,7.6,238260,52.99
816,42.361,2501,6616,7.4,The Bourne Identity,2002-06-14,en,"['Action', 'Drama', 'Mystery', 'Thriller']",155,The Bourne Identity,2002,PG-13,258463,119,"Action, Mystery, Thriller",68.0,7.9,502829,121.66
817,11.053,704,390,7.4,A Hard Day's Night,1964-07-07,en,"['Comedy', 'Music']",483,A Hard Day's Night,1964,G,58182,87,"Comedy, Music, Musical",96.0,7.6,39840,13.78
818,27.264,463257,621,7.4,The Peanut Butter Falcon,2019-08-09,en,"['Adventure', 'Drama', 'Comedy']",492,The Peanut Butter Falcon,2019,PG-13,4364194,97,"Adventure, Comedy, Drama",70.0,7.6,59140,13.12
819,11.224,9075,665,7.4,Black Book,2006-09-01,nl,"['Drama', 'Thriller', 'War']",602,Black Book,2006,R,389557,145,"Drama, Thriller, War",71.0,7.7,72032,4.40
820,37.987,1368,3952,7.4,First Blood,1982-10-22,en,"['Action', 'Adventure', 'Thriller', 'War']",312,First Blood,1982,R,83944,93,"Action, Adventure",61.0,7.7,223478,47.21
821,8.417,1653,811,7.4,The Motorcycle Diaries,2004-02-06,es,['Drama'],467,The Motorcycle Diaries,2004,R,318462,126,"Adventure, Biography, Drama",75.0,7.8,95909,16.76
822,10.321,3085,462,7.4,His Girl Friday,1940-01-18,en,"['Comedy', 'Drama', 'Romance']",773,His Girl Friday,1940,Passed,32599,92,"Comedy, Drama, Romance",,7.9,52815,0.30
823,14.121,2757,1559,7.4,Adaptation.,2002-12-06,en,"['Comedy', 'Crime', 'Drama']",436,Adaptation.,2002,R,268126,115,"Comedy, Drama",83.0,7.7,176320,22.25
824,20.109,16320,2415,7.4,Serenity,2005-09-03,en,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",410,Serenity,2005,PG-13,379786,119,"Action, Adventure, Sci-Fi",74.0,7.8,281264,25.51
825,22.22,452832,1029,5.4,Serenity,2019-01-24,en,"['Drama', 'Mystery', 'Thriller']",410,Serenity,2005,PG-13,379786,119,"Action, Adventure, Sci-Fi",74.0,7.8,281264,25.51
826,12.34,10400,892,7.4,The Hurricane,1999-09-17,en,['Drama'],302,The Hurricane,1999,R,174856,146,"Biography, Drama, Sport",74.0,7.6,90665,50.67
827,18.426,187,5762,7.4,Sin City,2005-04-01,en,"['Action', 'Thriller', 'Crime']",231,Sin City,2005,R,401792,124,"Crime, Thriller",74.0,8.0,735445,74.10
828,25.394,242,3959,7.4,The Godfather: Part III,1990-12-25,en,"['Crime', 'Drama', 'Thriller']",245,The Godfather: Part III,1990,R,99674,162,"Crime, Drama",60.0,7.6,353531,66.67
829,19.513,153,4805,7.4,Lost in Translation,2003-09-18,en,"['Drama', 'Romance', 'Comedy']",329,Lost in Translation,2003,R,335266,102,"Comedy, Drama",89.0,7.7,408368,44.59
830,20.018,5503,2757,7.4,The Fugitive,1993-08-06,en,"['Adventure', 'Action', 'Thriller', 'Crime', 'Mystery']",97,The Fugitive,1993,PG-13,106977,130,"Action, Crime, Drama",87.0,7.8,264192,183.88
831,12.456,205220,1159,7.4,Philomena,2013-11-01,en,['Drama'],353,Philomena,2013,PG-13,2431286,98,"Biography, Comedy, Drama",77.0,7.6,93383,37.71
832,11.592,11368,762,7.4,Blood Simple,1984-09-07,en,"['Crime', 'Drama', 'Thriller']",666,Blood Simple,1984,R,86979,99,"Crime, Drama, Thriller",82.0,7.6,86380,2.15
833,21.33,395834,3194,7.4,Wind River,2017-08-03,en,"['Crime', 'Drama', 'Mystery', 'Thriller']",371,Wind River,2017,R,5362988,107,"Crime, Drama, Mystery",73.0,7.7,198321,33.80
834,20.827,15999,246,7.4,Vampire Hunter D: Bloodlust,2000-08-25,ja,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Horror', 'Mystery', 'Science Fiction']",794,Vampire Hunter D: Bloodlust,2000,R,216651,103,"Animation, Action, Fantasy",62.0,7.7,28903,0.15
835,14.043,1429,1546,7.4,25th Hour,2002-12-16,en,"['Crime', 'Drama']",494,25th Hour,2002,R,307901,135,Drama,68.0,7.6,168653,13.06
836,15.711,2898,2414,7.4,As Good as It Gets,1997-12-19,en,"['Comedy', 'Romance']",124,As Good as It Gets,1997,PG-13,119822,139,"Comedy, Drama, Romance",67.0,7.7,272005,148.48
837,77.35,271110,17014,7.4,Captain America: Civil War,2016-04-27,en,"['Adventure', 'Action', 'Science Fiction']",14,Captain America: Civil War,2016,PG-13,3498820,147,"Action, Adventure, Sci-Fi",75.0,7.8,651901,408.08
838,30.505,161,8321,7.4,Ocean's Eleven,2001-12-07,en,"['Thriller', 'Crime']",99,Ocean's Eleven,2001,PG-13,240772,116,"Crime, Thriller",74.0,7.7,508939,183.42
839,10.601,11426,357,7.4,From Here to Eternity,1953-08-28,en,"['Drama', 'Romance', 'War']",388,From Here to Eternity,1953,Passed,45793,118,"Drama, Romance, War",85.0,7.6,42809,30.50
840,16.751,492,2819,7.4,Being John Malkovich,1999-10-29,en,"['Comedy', 'Drama', 'Fantasy']",431,Being John Malkovich,1999,R,120601,113,"Comedy, Drama, Fantasy",90.0,7.7,308798,22.86
841,11.644,488,536,7.4,The African Queen,1952-01-07,en,"['Adventure', 'Romance']",755,The African Queen,1951,PG,43265,105,"Adventure, Drama, Romance",91.0,7.7,70704,0.54
842,16.362,394117,1723,7.4,The Florida Project,2017-10-06,en,['Drama'],569,The Florida Project,2017,R,5649144,111,Drama,92.0,7.6,92136,5.90
843,11.598,9662,588,7.4,The Triplets of Belleville,2003-06-11,fr,"['Animation', 'Comedy', 'Drama']",550,The Triplets of Belleville,2003,PG-13,286244,80,"Animation, Comedy, Drama",91.0,7.8,50208,7.00
